es,en,scores,qualify
@gustavopetrourrego coge ejemplo,@gustavopetrourrego take an example,0.0,neutral
Y aca los quiere liberar el comunismo.,And here communism wants to free them.,0.5106,positive
Vente pa colombia y arregla este miér,Come to Colombia and fix this Wednesday,0.0,neutral
Dijeron Guantánamo? 🔥,Did they say Guantanamo? 🔥,0.0,neutral
Mis respetos y admiración por su labor como Presidente de El Salvador... El Eterno le bendiga,My respects and admiration for your work as President of El Salvador... The Eternal bless you,0.8225,positive
Pagando con Bitcoins??? 😂😂😂😂😂,Paying with Bitcoins??? 😂😂😂😂😂,0.0,neutral
👏👏👏,👏👏👏,0.0,neutral
Se parece al de acá... en vez de mejorar las condiciones de los internos los va a liberar para ser gestores de paz 😂😂😂😂#colombiaesunchiste,"It looks like the one here... instead of improving the conditions of the inmates, it will free them to be peace managers 😂😂😂😂#colombiaesunchiste",0.9022,positive
Excelente👏👏👏,Excellent👏👏👏,0.0,neutral
Facho!,Facho!,0.0,neutral
"Asi es que debe ser el q comete crimenes q los pague, no como aca se convierten en gestores de paz","So it should be the one who commits crimes that pays for them, not like here they become peace managers",0.3591,positive
👏👏👏👏👏,👏👏👏👏👏,0.0,neutral
Excelente eso es lo que hace falta acá. Para q no tengan excusa de soltarlos por espacio.,"Excellent, that is what is needed here. So they don't have an excuse to release them for space.",0.5389,positive
"Aquí necesitamos una de esa, para que no den casa por cárcel","Here we need one of that, so they don't give a house to jail",0.0,neutral
Más Bukeles en LATAM 🙌,More Bukels in LATAM 🙌,0.0,neutral
Aquí los quieren volver gestores de paz que vergüenza,Here they want to make peace managers what a shame,0.1779,positive
La tiene clara 😮,It is clear 😮,0.3818,positive
"Eso es lo que deberían hacer en Colombia, pero la única solución es sacarlos de la cárcel, felicitaciones que bueno sería un presidente acá 😢","That is what they should do in Colombia, but the only solution is to get them out of jail, congratulations, how good a president would be here 😢",0.9209,positive
"Me recordo al Complejo de Jamundí (el mas grande del país), lo inaguraron y ya estaba con asinamiento.","It reminded me of the Jamundí Complex (the largest in the country), it was inaugurated and it was already crowded.",0.0,neutral
El presidente que soñamos!!!!👏👏👏👏,The president we dream of!!!!👏👏👏👏,0.4885,positive
@gustavopetrourrego,@gustavopetrourrego,0.0,neutral
Excelente!!,Great!!,0.6892,positive
En colombia tiene el voto mio,In Colombia you have my vote,0.0,neutral
Que bueno le copiarán todos los presidentes de Latinoamérica a este presidente,How good will all the presidents of Latin America copy this president,0.4404,positive
Excelente. 👏👏👏👏,Great. 👏👏👏👏,0.6249,positive
Nojoda petro deja de estar pensando en vivir sabroso y de estar visitando a super bigotes y sigue el modelo de gobierno de Bukele (por que no fuiste colombiano) 😢😢,Nojoda Petro stop thinking about living tasty and visiting super mustaches and follow Bukele's government model (because you weren't Colombian) 😢😢,0.4019,positive
👏👏👏👏👏👏👏👏👏👏👏👏👏,👏👏👏👏👏👏👏👏👏👏👏👏👏,0.0,neutral
"Que triste que en un pais se tengan que abrir mas cárceles y no universidades, colegios o hospitales. Y más triste aún que mucha gente lo celebra","How sad that in a country they have to open more prisons and not universities, schools or hospitals. And even sadder that many people celebrate it",-0.4215,negative
Señor adopteme,sir adopt me,0.1779,positive
Eso no le gusta a los ñeros,The ñeros don't like that,-0.2755,negative
👏,👏,0.0,neutral
👏👏.. y acá en Colombia el payaso los quiere liberar,👏👏.. and here in Colombia the clown wants to free them,0.5106,positive
Para que cojan ejemplo los mandatarios que se quieren copiar cosas de otros paises. Bueno copien esa y hagan lo mismo.,So that the leaders who want to copy things from other countries can take an example. Well copy that and do the same.,0.34,positive
Colombia necesita urgente un presidente como el 👏👏👏👏👏👏👏,Colombia urgently needs a president like him 👏👏👏👏👏👏👏,0.3612,positive
👏👏👏👏,👏👏👏👏,0.0,neutral
👏👏👏,👏👏👏,0.0,neutral
👏👏👏👏👏👏👏,👏👏👏👏👏👏👏,0.0,neutral
Aprende petro,learn petro,0.0,neutral
👏👏👏 así debe ser y ojalá 0 corrupción en el manejo de la cárcel,👏👏👏 that's how it should be and hopefully 0 corruption in prison management,-0.1531,negative
👏👏👏👏👏👏👏👏👏👏👏SALVADOR Si TIENE PRÉSIDENTE,"👏👏👏👏👏👏👏👏👏👏👏 SALVADOR Yes, it HAS A PRESIDENT",0.4019,positive
Unos cuantos para que nos reciban?,A few to receive us?,0.0,neutral
👏👏👏,👏👏👏,0.0,neutral
Que locura pero a COLOMBIAAAA le hace falta algo así,How crazy but COLOMBIAAAAA needs something like this,0.3716,positive
👏,👏,0.0,neutral
"Al menos, en Colombia les daban un fusil y el presidente los ponía a desplazar campesinos con el nombre de paracos para que esté y sus amigos de bien tuvieran tierras para sacar coca por toneladas.","At least, in Colombia they were given a rifle and the president made them displace peasants with the name of paracos so that they and their good friends would have land to extract coca by the ton.",0.7184,positive
"Invertí $700 y obtuve un retorno de $9,130 en solo 5 días hábiles. Recibí mis ganancias de 10 veces mi capital de inversión. Usted es un comerciante de divisas transparente y responsable @jannike_fx_expert 🇺🇲 🇨🇴🇪🇸🇲🇽","I invested $700 and got a return of $9,130 ​​in just 5 business days. I received my earnings of 10 times my investment capital. You are a transparent and responsible forex trader @jannike_fx_expert 🇺🇲 🇨🇴🇪🇸🇲🇽",0.3182,positive
Lo amo,I love him,0.6369,positive
Lo mejor que ha parido ese país 👏,The best thing that has given birth to that country 👏,0.6369,positive
Lo amo 😍,I love him 😍,0.6369,positive
Colombia necesita 3 de esas por favor,Colombia needs 3 of these please,0.3182,positive
"Claro, no permite que la prensa acceda a ver las instalaciones ni a hacer preguntas porque no quieren que desenmascaren la verdad detrás de todas esas artimañas de dictador. Y la gente no deja de aplaudir a este tipejo 🤦🏻‍♂️","Of course, he does not allow the press access to see the facilities or to ask questions because he does not want them to expose the truth behind all those dictator tricks. And people don't stop applauding this guy 🤦🏻‍♂️",-0.33,negative
👏👏👏👏,👏👏👏👏,0.0,neutral
A ver si toman ejemplo en Colombia y dejan de hablar tantas babosadas,Let's see if they take an example in Colombia and stop talking so many nonsense,-0.6344,negative
Que crack,what crack,0.0,neutral
@nayibbukele por favor dele clase a @gustavopetrourrego,@nayibbukele please teach @gustavopetrourrego,0.3182,positive
Y aquí en Colombia piensan dejarlos libres 🙈🙈🙈,And here in Colombia they plan to set them free 🙈🙈🙈,0.5106,positive
👏👏👏👏👏,👏👏👏👏👏,0.0,neutral
👏👏👏,👏👏👏,0.0,neutral
👏👏,👏👏,0.0,neutral
👏👏👏👏,👏👏👏👏,0.0,neutral
Echa pa acá bukele,Take here bukele,0.0,neutral
Cárcel??? Y donde están las otras obras a favor del pueblo ??? Son presidentes con una excelente visión al mundo pero ves y vive lo q realmente tiene el pueblo salvadoreño. Por redes dine q se ve feo ?????? Hasta las mismas mujeres enamoramos a punta de filtro 😂😂😂😂,Jail??? And where are the other works in favor of the people??? They are presidents with an excellent vision of the world but you see and live what the Salvadoran people really have. By networks I said that it looks ugly ?????? Even the same women fall in love at the tip of the filter 😂😂😂😂,0.7912,positive
👏👏👏👏,👏👏👏👏,0.0,neutral
@gustavopetrourrego,@gustavopetrourrego,0.0,neutral
👏👏👏👏,👏👏👏👏,0.0,neutral
"Y acá el ministro quiere que los raponeros y atracadores reciban una palmada de la mamá, una anotación en el observador y Petro les da un mínimo.","And here the minister wants the raponeros and robbers to receive a slap from the mother, a note in the observer and Petro gives them a minimum.",0.1531,positive
"Eso sí es un Presidente, qué envida! 👏🏻👏🏻👏🏻","Now that is a President, what envy! 👏🏻👏🏻👏🏻",-0.3382,negative
"Este tipo tiene las bolas bien puestas, a ver si le presta 1 a nuestro mesias.","This guy has his balls on, let's see if he lends 1 to our messiah.",0.0,neutral
Aquí los dejan libres y les dan subsidios.,Here they let them go free and give them subsidies.,0.5106,positive
Un ejemplo para implementar en colombia urgente,An example to implement in Colombia urgently,0.0,neutral
@gustavopetrourrego para tener en cuenta. Acá vamos como el cangrejo 🦀,@gustavopetrourrego to keep in mind. Here we go like the crab 🦀,0.3612,positive
Necesitamos aquí un presidente así a ver si erradicamos por lo menos un 50% de la delincuencia en Colombia.,We need a president like that here to see if we eradicate at least 50% of crime in Colombia.,-0.25,negative
👏👏👏👏👏,👏👏👏👏👏,0.0,neutral
En Colombia cuando?,In Colombia when?,0.0,neutral
Debería de alrededor de esa selva criar leones 🦁 tigre 🐯 y el q quiera huir q lo dejen ir,Around that jungle should breed lions 🦁 tiger 🐯 and whoever wants to flee should be let go,0.0,neutral
Excelente lejos de todo así es,Excellent far from everything that's how it is,0.5719,positive
@gustavopetrourrego Sr. Presidente hay que replicar lo bueno 🙏🏽,@gustavopetrourrego Mr. President you have to replicate the good 🙏🏽,0.4404,positive
Traigan ese cuate para acá.,Bring that guy over here.,0.0,neutral
@gustavopetrourrego esperando!!,@gustavopetrourrego waiting!!,0.0,neutral
"Admirableeee! 👏👏👏👏 por donde quiera que se le mire, admirable la gestión de este hombre! Dios nos dé un NB a Colombia!!","Admirableeee! 👏👏👏👏 wherever you look at him, the management of this man is admirable! God give us a NB to Colombia!!",0.7825,positive
Uff el es mejor presidente toda latinoamericana y mundo,Uff he is the best president of all Latin America and the world,0.6369,positive
Así necesitamos unas dos en Colombia para tanto d3l1ncu3nt3 y sin beneficios...,So we need about two in Colombia for both d3l1ncu3nt3 and without benefits...,0.0,neutral
👏👏👏👏👏👏👏👏,👏👏👏👏👏👏👏👏,0.0,neutral
👏👏👏👏👏,👏👏👏👏👏,0.0,neutral
Ojalá aquí hicieran lo mismo(sea el que sea que gobierne),I wish they would do the same here (whoever governs),0.4019,positive
"Aca en colombia, suits , permiso para “ trabajar” y perdon social!!! …","Here in Colombia, suits, permission to ""work"" and social forgiveness! …",0.3382,positive
No seria mala idea hacer una aca para 100mil criminales,"It wouldn't be a bad idea to make one here for 100,000 criminals",-0.2144,negative
🙌🙌,🙌🙌,0.0,neutral
"Será que les van a dar salida en el dia a ""trabajar"" y 800mil de subsidio? 🤔","Is it that they are going to give them a way out in the day to ""work"" and 800 thousand subsidy? 🤔",0.0,neutral
Como seria para que se venga a lanzar como candidato acá,How would it be for him to come and launch as a candidate here?,0.0,neutral
Y la de aquí para cuando ?,And the one from here for when?,0.0,neutral
Este man si sabe de que lado es que masca la iguana,This man does know which side the iguana chews on,0.0,neutral
"Sueños que nunca llegarán para Colombia, acá en tiempos de pandemia, en vez de haber acabado con tanto adulto mayor, por qué eso fue y así se hizo, es una realidad, debieron haber acabado con el hacinamiento de las cárceles.. El que lo entendió lo entendió","Dreams that will never come to Colombia, here in times of a pandemic, instead of having put an end to so many older adults, why was that and how it was done, it is a reality, they should have put an end to the overcrowding of prisons.. Whoever did it understood understood",0.4019,positive
Mano dura,Firm hand,0.4939,positive
👏👏👏,👏👏👏,0.0,neutral
Excelete idea!!!!,Excellent idea!!!!,0.7067,positive
Y así don Petro pretende quitar la categoría de delitos para disminuir la criminalidad.,And so Don Petro intends to remove the category of crimes to reduce crime.,-0.5423,negative
😍😍😍😍😍,😍😍😍😍😍,0.0,neutral
Y las de acá para cuando .,And the ones from here to when.,0.0,neutral
Bukele esta mal. Q tome ejemplo de Colombia q el presidente los saca de la cárcel y los indemniza económicamente,Bukele is wrong. TO take the example of Colombia that the president releases them from jail and compensates them financially,-0.4767,negative
"Osea me cae bien, es un líder con pantalones, pero si la noticia es inauguran ""cárcel"" y no ""universidades"" es que una sociedad no avanza mucho, pero bien por el bukele","I mean, I like him, he's a leader with pants, but if the news is that ""prison"" is inaugurated and not ""universities"" it means that a society does not advance much, but good for the bukele",0.6808,positive
👏👏👏👏👏👏,👏👏👏👏👏👏,0.0,neutral
"Mientras tanto en Colombia tratando de sacarlos a pasear, que circo de gobierno el de petro","Meanwhile in Colombia trying to take them out for a walk, what a government circus that of petro",0.0,neutral
Amo ese presidente,i love that president,0.6369,positive
Es el presidente que necesitamos en Colombia para que acabe con tanta plaga cancerosa que ya hizo metástasis por los consecuentes gobiernos timoratos y cómplices de las mafias narcoterroristas que campean a lo largo y ancho de país.,He is the president that we need in Colombia to put an end to such a cancerous plague that has already metastasized by the consistent timorous governments and accomplices of the narco-terrorist mafias that roam the length and breadth of the country.,-0.2023,negative
Ese si es un Presidente de verdad verdad,"That is a true President, true",0.6808,positive
Mientras petro volviendo a todos gestores de paz,While Petro returning to all managers of peace,0.5423,positive
👏👏👏👏,👏👏👏👏,0.0,neutral
Acá en Colombia 🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴 a esos 40 mil pandilleros @gustavopetrourrego les da #unmillóndepesos,Here in Colombia 🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴🇨🇴 to those 40 thousand gang members @gustavopetrourrego gives them #unmillóndepesos,0.0,neutral
Como así? Pero petr0 acá los vuelven gest0res de paz y les pagan.,In that way? But petr0 here they make them peace managers and they get paid.,0.6956,positive
Lo necesitamos colombia señor Nayib,We need you Colombia Mr. Nayib,0.0,neutral
"BRAVO 💪, ESA M , 👏👏👏👏👏 ASI ES QUE HAY QUE HACER, las personas malas castigadas y las personas buenas tranquilas en las calles , bravo Bukele 👏👏👏👏👏🔥🔥🔥","BRAVO 💪, ESA M, 👏👏👏👏👏 THIS IS HOW YOU HAVE TO DO IT, bad people are punished and good people stay calm in the streets, bravo Bukele 👏👏👏👏👏🔥🔥🔥",-0.3182,negative
Así tiene que ser mano dura pero en Colombia Nayibe terminaría preso😮,This is how it has to be a strong hand but in Colombia Nayibe would end up in prison😮,0.5023,positive
"Deberían clonar a este tipo y ponerlo en Nicaragua, Venezuela y Colombia","They should clone this guy and put him in Nicaragua, Venezuela and Colombia",0.0,neutral
“La plata alcanza cuando no se la roban” 💘❤️💘,"""Silver reaches when it is not stolen"" 💘❤️💘",0.4268,positive
@gustavopetrourrego,@gustavopetrourrego,0.0,neutral
A petro le servirán esos 40 mil gestores de paz?,"Will those 40,000 peace managers serve Petro?",0.5423,positive
Este man es un duro mis respetos 🔥,"This man is tough, my respects 🔥",0.2023,positive
El salvador es un país de 10 millones de habitantes. Una Bogotá... Colombia 52 millones de habitantes. Se necesitan 5 cárceles de este tipo... por regiones,El Salvador is a country of 10 million inhabitants. A Bogota... Colombia 52 million inhabitants. 5 prisons of this type are needed... by region,0.0,neutral
Que belleza !!,That beauty !!,0.658,positive
en colombia serian gestores de paz,in colombia they would be peace managers,0.5423,positive
Uff🔥🔥🔥,Ugh🔥🔥🔥,0.0,neutral
Castigo y resocialización 👏,Punishment and resocialization 👏,-0.4939,negative
Petro los pone a facturar,Petro puts them to invoice,0.0,neutral
Venga a Colombia presi 🔥,Come to Colombia pres 🔥,0.0,neutral
"Haaa negociaso, y el Salvador con toda la materia prima","Haaa negotiate, and El Salvador with all the raw material",0.0,neutral
Eso es lo que hace falta en Colombia...,That is what is needed in Colombia...,0.0,neutral
Así es que se gobierna,This is how it is governed,0.0,neutral
Mi presi,my pressure,-0.296,negative
Colombia necesita un presidente asi,Colombia needs a president like that,0.3612,positive
Cómo le hace falta a Venezuela uan así,How does Venezuela need it like this?,0.3612,positive
En colombia sería la cárcel de gestores de paz,In Colombia it would be the jail for peace managers,0.5423,positive
Igual q aquí 😂,Same as here 😂,0.0,neutral
👏👏👏🔥,👏👏👏🔥,0.0,neutral
En medio de la nada misma igual a ellos....🔥🔥🔥,In the middle of nowhere just like them....🔥🔥🔥,-0.2755,negative
Acá en colombia los premian,Here in Colombia they are rewarded,0.4939,positive
Contrario a Colombia Aqui los premian,"Contrary to Colombia, here they are rewarded",0.4939,positive
Este man si sabe....!! Aprendan dirigentes Colombianos ...!! El que sea.!👏👏,This man does know....!! Learn Colombian leaders...!! Whatever.!👏👏,0.0,neutral
Porqué nosotros no? @gustavopetrourrego es urgente! Demasiada delincuencia!,Why not us? @gustavopetrourrego it's urgent! Too much crime!,-0.508,negative
Asi es. Total,That's how it is. Total,0.0,neutral
Y aca en Colombia los quieren soltar 😂😂😂😂😂🤡🤡🤡🤡,And here in Colombia they want to release them 😂😂😂😂😂🤡🤡🤡🤡,0.0772,positive
@gustavopetrourrego esto en vez de pagarles,@gustavopetrourego this instead of paying them,0.0,neutral
Necesitamos gente así acá,we need people like that here,0.3612,positive
"El Salvador ha sido bendecido con este hombre @nayibbukele Presidente, por favor nunca olvide quién lo puso ahí; mientras lo tenga en memoria; Él mismo será quien lo continuará apoyando y respaldando 🙏🙏","El Salvador has been blessed with this man @nayibbukele President, please never forget who put him there; as long as I have it in memory; He himself will be the one who will continue to support and support him 🙏🙏",0.9055,positive
@gustavopetrourrego aprenda si? Gracias.,@gustavopetrourrego learn yes? Thanks.,0.6808,positive
Lo amo❤️,I love him❤️,0.6369,positive
👏,👏,0.0,neutral
👏👏👏👏👏👏,👏👏👏👏👏👏,0.0,neutral
"Eso es lo que necesitamos en Colombia, que tristeza la justicia acá cada vez de mal en peor 😪","That is what we need in Colombia, how sad the justice here every time from bad to worse 😪",-0.743,negative
👏👏👏👏👏👏,👏👏👏👏👏👏,0.0,neutral
Un presidente así en Colombia 😍,A president like this in Colombia 😍,0.3612,positive
Alguien a notado que solo se a fijado en la seguridad...y no se muestra gestiones en otras áreas?,Has anyone noticed that they only looked at security... and no steps are shown in other areas?,-0.296,negative
Excelente Presidente 👏👏👏👏Lastima que seas ajeno.,Excellent President 👏👏👏👏 Too bad you are someone else's.,0.0516,positive
👏👏👏👏👏👏👏👏,👏👏👏👏👏👏👏👏,0.0,neutral
"En Colombia necesitamos cómo 500 para tanta porquería que hay en las calles, incluyendo. El gobierno....., 🙏","In Colombia we need about 500 for so much crap that is on the streets, including. The government....., 🙏",-0.4364,negative
Que diferencia con la izquierda colombiana aliada con el narcotrafico.,What a difference with the Colombian left allied with drug trafficking.,0.0,neutral
De alguna manera hay que *invertir* el dinero,Somehow you have to *invest* the money,0.0,neutral
aquí en Colombia falta que hagan unas 10 de esas cárceles con esa capacidad.,here in Colombia they need to build about 10 of those prisons with that capacity.,0.0,neutral
Y Petro pensando en dejarlos libres!!!Para cuándo un Nayib Bukele en Colombia???,And Petro thinking about letting them go free!!! When will a Nayib Bukele in Colombia???,0.6923,positive
Necesitamos un Nayib Bukele aquí en Colombia urgente 🙏,We urgently need a Nayib Bukele here in Colombia 🙏,0.0,neutral
👏👏,👏👏,0.0,neutral
Los va a poner a estrenar ajjajajajaa,He's going to make them brand new hahahahaha,0.0,neutral
👏👏👏👏,👏👏👏👏,0.0,neutral
@gustavopetrourrego hijo anda para q teden clase lorito,@gustavopetrourrego son go so they can take parrot class,0.0,neutral
Dictador bukele (?),Bukele dictator (?),0.0,neutral
Un gran ejemplo para Colombia,A great example for Colombia,0.6249,positive
👏👏👏👏👏👏👏,👏👏👏👏👏👏👏,0.0,neutral
@gustavopetrourrego aprenda que los bandidos deben estar presos y no en la calle,@gustavopetrourrego learn that bandits should be in jail and not on the street,0.0,neutral
"Y el d Colombia los están sacando y dandole dinero sueldo, mientras tanto Miles de profesionales,personas capacitadas sin recibir una oportunidad de trabajo, estamos viviendo sabroso","And in Colombia they are taking them out and giving them salary money, meanwhile Thousands of professionals, trained people without receiving a job opportunity, we are living tasty",0.0176,positive
Fantástico,Fantastic,0.5574,positive
Señor Petro copié lo bueno del Salvador que si tienen un presidente berraco.,"Mr. Petro, I copied the good thing about Salvador that they do have a berraco president.",0.4404,positive
👏👏👏le aplaudoooo de pie...,👏👏👏 I applaud him standing up...,0.4588,positive
@angel_kley 😂😂,@angel_kley 😂😂,0.0,neutral
👏 así es como se hace,👏 this is how it's done,0.0,neutral
En colombia necesitamos 3 de esas,In Colombia we need 3 of those,0.0,neutral
Excelente ese si que es todo un presidente 👏👏👏👏👏,"Excellent, that is quite a president 👏👏👏👏👏",0.5719,positive
@gustavopetrourrego,@gustavopetrourrego,0.0,neutral
Crack! EL VERDADERO CAMBIO! 🔥 @nayibbukele,Crack! THE REAL CHANGE! 🔥 @nayibbukele,0.0,neutral
Y acá los estamos soltando😂😂😂😂,And here we are releasing them 😂😂😂😂,0.0,neutral
El mejor presidente de Latam sin duda.,The best president of Latam without a doubt.,0.7438,positive
Igualita a la picota 😂.,Just like the pillory 😂.,0.3612,positive
"🤔 despues de todo ..el "" regimen"" no es tan malo...","🤔 after all ..the ""regime"" is not so bad...",0.0,neutral
👏👏,👏👏,0.0,neutral
Admiración total para todo lo que ha hecho ese presidente 👏🔥😍,Total admiration for everything that president has done 👏🔥😍,0.5423,positive
Yooooo quierooooooo ese presidente 🇨🇴🇨🇴🇨🇴👋👍🙏,Yooooo I love that president 🇨🇴🇨🇴🇨🇴👋👍🙏,0.6369,positive
Reeducar Reculturizar,Reeducate Reculturate,0.0,neutral
Eso es lo que hace falta en colombia para más de un político! 👊,That is what is needed in Colombia for more than one politician! 👊,0.0,neutral
Petro no lo hace porque alla puede terminar metido 😂😂😂,Petro doesn't do it because he can end up there 😂😂😂,0.0,neutral
"@gustavopetrourrego así es que se castiga la delincuencia vea ese país como avanza en tema de seguridad, usted pensando en volverlos gestores de paz.","@gustavopetrourego that's how crime is punished, see how that country advances on security issues, you're thinking of turning them into peace managers.",-0.1531,negative
Qie venga a Colombia a darnun curso de como gobernar,Come to Colombia to give a course on how to govern,0.0,neutral
Diseñada como un campo de exterminio,Designed like a death camp,-0.34,negative
Y si nacionalizamos a don Nayib? 🤔,And if we nationalize Don Nayib? 🤔,0.0,neutral
Y los genios del gobierno de colombia dicen que no se deben construir más cárceles si no darles Plata para que sigan delinquiendo.,"And the geniuses of the Colombian government say that more prisons should not be built, if not given money to continue committing crimes.",0.0772,positive
"El que hacía cárceles ya no está, Pablo Escobar.","The one who made prisons is no longer here, Pablo Escobar.",-0.296,negative
Que envidia !!!,What envy !!!,-0.4545,negative
"Uno inaugurando cárceles , y el otro los quiere dejar libres y darles subsidios. Bien por Nayib Bukele👏","One opening prisons, and the other wants to set them free and give them subsidies. Good for Nayib Bukele 👏",0.7351,positive
👏👏👏👏👏👏👏👏👏,👏👏👏👏👏👏👏👏👏,0.0,neutral
Que genial!! Un presidente con pantalones!!! 👏👏,How wonderful!! A president with pants!!! 👏👏,0.7067,positive
"Y el guerrillo M19 indultado presidente de la república popular de Colombia, hace lo contrario !! Legalizar todo el hampa y terrorismo !","And the M19 guerrilla pardoned president of the people's republic of Colombia, does the opposite! Legalize all the underworld and terrorism!",-0.6467,negative
Y acá en mi quería patria quieren en libertad lo peor de la sociedad y lo peor esque hay quienes apoyan y aplauden,And here in my beloved homeland they want the worst of society to be free and the worst is that there are those who support and applaud,0.5267,positive
Excelente 👏coge ejemplo @gustavopetrourrego,Excellent 👏 take an example @gustavopetrourrego,0.5719,positive
👏👏👏,👏👏👏,0.0,neutral
👏👏👏👏😍,👏👏👏👏😍,0.0,neutral
"Se nota en los comentarios que no tienen ni idea de la porquería que es este señor jajaja pero eso apunta de videos publicitarios pagados por el, como siempre, la gente se cree todo.","You can tell from the comments that they have no idea how crap this man is hahaha but that points to advertising videos paid for by him, as always, people believe everything.",-0.0258,negative
Muchísimas gracias por mantenernos bien informados.👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏,Thank you very much for keeping us well informed.,0.5574,positive
"👏👏👏👏nos falta mucho pelo para moño, 👏👏👏cuando será que acá se empiece a pensar de esta forma, en crear lugares de reclusión para ampones, acá solo se piensa que pobrecitos que se les vulneran sus derechos, mientras que ellos sí matan sin temor","👏👏👏👏we lack a lot of hair for a bun, 👏👏👏when will it be that people start to think this way here, about creating places of confinement for ampons, here they only think that poor little ones have their rights violated, while they yes they kill without fear",-0.7889,negative
Acá los llamaremos gestores de paz en mi gobierno del cambio 🤡,Here we will call them peace managers in my government of change 🤡,0.5423,positive
"Mientras que en El Salvador el man se mata por encerrarlos, en colombia los sacan para premiarlos 🥲. Dios envíanos un NAYIB para Colombia 🙏🏻","While in El Salvador the man kills himself to lock them up, in Colombia they take them out to reward them 🥲. God send us a NAYIB for Colombia 🙏🏻",0.3182,positive
"Eso si es un presidente que invierte y no se roba la plata pagando ""gestores de paz""","That is a president who invests and does not steal money by paying ""peace managers""",0.7293,positive
Debería ser presidente aqui,I should be president here,0.0,neutral
El mejor ese señor.,The best that gentleman.,0.6369,positive
"Esto es lo que necesita Colombia si no se robaran el dinero, prefieren soltar a los criminales porque no hay espacio 😢","This is what Colombia needs if the money is not stolen, they prefer to release the criminals because there is no space 😢",-0.506,negative
"Falta que hagan la de colombia también, en la mitad del desierto para que sigan viviendo sabroso","They need to make the one in Colombia too, in the middle of the desert so that they can continue living tasty",0.0,neutral
Nada premio pa los que la 🐭,Nothing prize for those who 🐭,-0.4023,negative
👏👏👏👏👏,👏👏👏👏👏,0.0,neutral
Tremendo Presidente 🙌👏❤️😍,Tremendous President 🙌👏❤️😍,0.0,neutral
@oeamador @rocipire,@oeamador @rocipire,0.0,neutral
Ñercolee,nercolee,0.0,neutral
El presidente que deseamos acá,The president we want here,0.0772,positive
👏👏👏👏 y acá los premian 🙃,👏👏👏👏 and here they reward them 🙃,0.5719,positive
"Veo mucho ardido aqui, pregunta cuando un rico de familia de bien paga carcel no sean payasos y no hagan comparaciones estupidas.","I see a lot of fire here, ask when a rich family with a well-paid jail is not clowns and do not make stupid comparisons.",0.6093,positive
Igualitas de las que tenemos acá en colombia😂😂,Just like the ones we have here in Colombia😂😂,0.3612,positive
Yo no se pero siento que lo amo😂😂 @nayibbukele the best,I don't know but I feel like I love him😂😂 @nayibbukele the best,0.9505,positive
Todos a etiquetar a @gustavopetrourrego y al @minjusticiaco a ver si aprenden de las buenas prácticas de otros países y sacamos tanta delincuencia de las calles.,Everyone tag @gustavopetrourrego and @minjusticiaco to see if they learn from the good practices of other countries and we get so much crime off the streets.,-0.2212,negative
"Por que petrosky no se va unos días para allá , para q este señor le enseñe a gobernar","Why doesn't Petrosky go there for a few days, so that this gentleman can teach him to govern?",0.0,neutral
🙌🔥,🙌🔥,0.0,neutral
"Acá a los criminales serán gestores de paz, mano dura y cero derechos humanos","Here the criminals will be managers of peace, a strong hand and zero human rights",0.743,positive
Un Presidente así Padre bueno para nuestra amada 🇨🇴,A President like this Good Father to our beloved 🇨🇴,0.8472,positive
👏,👏,0.0,neutral
👏👏👏👏👏👏,👏👏👏👏👏👏,0.0,neutral
👏👏👏👏,👏👏👏👏,0.0,neutral
👏👏👏👏,👏👏👏👏,0.0,neutral
No podemos ficharlo ?,Can't we sign him?,0.0,neutral
La tiene clara,it is clear,0.3818,positive
"😮Y aquí en Colombia 🇨🇴,bien Gracias ☺️","😮 And here in Colombia 🇨🇴, well, thanks ☺️",0.6124,positive
Quiero vivir en el Salvador 😢,I want to live in El Salvador 😢,0.0772,positive
@gustavopetrourrego debería hacer lo mismo 🐸🐸🐸🐸🐀🐀🐀🐀,@gustavopetrourrego should do the same 🐸🐸🐸🐸🐀🐀🐀🐀,0.0,neutral
Y el señor Petro queriendo soltar los de aquí 😢,And Mr. Petro wanting to release the ones here 😢,0.0,neutral
LOS PRESOS MERECEN UNA SEGUNDA OPORTUNIDAD Y DEBEN RESPETARSE LOS DERECHOS HUMANOS.,PRISONERS DESERVE A SECOND CHANCE AND HUMAN RIGHTS MUST BE RESPECTED.,0.2023,positive
Como siempre Bukele robando ideas de mi presidente del cambio. 😂😂,As always Bukele stealing ideas from my president of change. 😂😂,-0.5719,negative
👏👏👏,👏👏👏,0.0,neutral
@gustavopetrourrego,@gustavopetrourrego,0.0,neutral
